lambda,mu,avg_waiting_time,avg_response_time,utilization,std_waiting_time,std_response_time
0.1,1.0,0.11078915156741675,1.110621326757153,0.9090772397252925,0.0019543753946500383,0.0039357316437497614
0.15000000000000002,1.0,0.17604708482594705,1.1758070990556961,0.8695630784958687,0.0025837427473450305,0.004308150117410797
0.20000000000000004,1.0,0.24966098160234004,1.2493363459700775,0.8333733722346557,0.0038468393144604,0.005536563751242555
0.25000000000000006,1.0,0.3332181732999447,1.3331569069679847,0.7999916843229882,0.0049188936116701144,0.006558478978337568
0.30000000000000004,1.0,0.4285310673104476,1.4282812673908978,0.769269161646665,0.006460467312817683,0.008285526708661043
0.3500000000000001,1.0,0.5381504700970784,1.5378795937386929,0.7408076690458555,0.007866319836917936,0.009729880819876089
0.40000000000000013,1.0,0.6680215557731018,1.6678902542319227,0.7143704859642509,0.010466630801013581,0.012525200276377081
0.45000000000000007,1.0,0.8181838595886864,1.8179674104376635,0.6897463520603493,0.014058459402150468,0.016066477002397262
0.5000000000000001,1.0,0.9998777635391586,1.9997309473288518,0.6667735029255923,0.01825265978824191,0.020326928528068576
0.5500000000000002,1.0,1.2236759868721276,2.2236333346967765,0.645208615443377,0.024537954549605313,0.02651904802131358
0.6000000000000002,1.0,1.4986305186288456,2.4984175373892294,0.625080187639751,0.03202688508207701,0.0336002359490017
0.6500000000000001,1.0,1.8549412140514974,2.854611696941479,0.6061810783788677,0.03935212133992751,0.041092483792988584
0.7000000000000002,1.0,2.321209858487251,3.320805094065329,0.5884106219601177,0.05634676148456791,0.05803485774228044
0.7500000000000002,1.0,2.9890968208456594,3.9885494934845998,0.5716237292278956,0.08427883407566494,0.08591034062505208
0.8000000000000002,1.0,3.9773838024413184,4.977085370146789,0.5555385602789429,0.13883532227035486,0.14050772646260237
0.8500000000000002,1.0,5.651231642078702,6.651092008557477,0.5404287893020447,0.25701289762641266,0.2586400505145095
0.9000000000000002,1.0,9.091783138450362,10.09205388479156,0.5260490278677596,0.6875568547012976,0.6892967144653681
